"","Time","Area","Value","Metric","Type"
"382","1999K4"," Østjylland",44.1,"Index","Vacation house"
"383","1999K4"," Vestjylland",54,"Index","Vacation house"
"384","1999K4"," Nordjylland",47.3,"Index","Vacation house"
"385","2000K1","Hele landet",42.6,"Index","Vacation house"
"386","2000K1"," Byen København",0,"Index","Vacation house"
"387","2000K1"," Københavns omegn",0,"Index","Vacation house"
"388","2000K1"," Nordsjælland",34.6,"Index","Vacation house"
"389","2000K1"," Bornholm",0,"Index","Vacation house"
"390","2000K1"," Østsjælland",35.3,"Index","Vacation house"
"391","2000K1"," Vest- og Sydsjælland",34.4,"Index","Vacation house"
"392","2000K1"," Fyn",55.5,"Index","Vacation house"
"393","2000K1"," Sydjylland",50.3,"Index","Vacation house"
"394","2000K1"," Østjylland",45.3,"Index","Vacation house"
"395","2000K1"," Vestjylland",54,"Index","Vacation house"
"396","2000K1"," Nordjylland",48.9,"Index","Vacation house"
"397","2000K2","Hele landet",44.8,"Index","Vacation house"
"398","2000K2"," Byen København",0,"Index","Vacation house"
"399","2000K2"," Københavns omegn",0,"Index","Vacation house"
"400","2000K2"," Nordsjælland",35.9,"Index","Vacation house"
"401","2000K2"," Bornholm",0,"Index","Vacation house"
"402","2000K2"," Østsjælland",35.1,"Index","Vacation house"
"403","2000K2"," Vest- og Sydsjælland",37.7,"Index","Vacation house"
"404","2000K2"," Fyn",59.9,"Index","Vacation house"
"405","2000K2"," Sydjylland",52.2,"Index","Vacation house"
"406","2000K2"," Østjylland",46.1,"Index","Vacation house"
"407","2000K2"," Vestjylland",56.6,"Index","Vacation house"
"408","2000K2"," Nordjylland",51,"Index","Vacation house"
"409","2000K3","Hele landet",47,"Index","Vacation house"
"410","2000K3"," Byen København",0,"Index","Vacation house"
"411","2000K3"," Københavns omegn",0,"Index","Vacation house"
"412","2000K3"," Nordsjælland",38.4,"Index","Vacation house"
"413","2000K3"," Bornholm",0,"Index","Vacation house"
"414","2000K3"," Østsjælland",39.2,"Index","Vacation house"
"415","2000K3"," Vest- og Sydsjælland",40.2,"Index","Vacation house"
"416","2000K3"," Fyn",58.2,"Index","Vacation house"
"417","2000K3"," Sydjylland",52.4,"Index","Vacation house"
"418","2000K3"," Østjylland",49.6,"Index","Vacation house"
"419","2000K3"," Vestjylland",58.1,"Index","Vacation house"
"420","2000K3"," Nordjylland",52.3,"Index","Vacation house"
"421","2000K4","Hele landet",45.9,"Index","Vacation house"
"422","2000K4"," Byen København",0,"Index","Vacation house"
"423","2000K4"," Københavns omegn",0,"Index","Vacation house"
"424","2000K4"," Nordsjælland",37.2,"Index","Vacation house"
"425","2000K4"," Bornholm",0,"Index","Vacation house"
"426","2000K4"," Østsjælland",37.8,"Index","Vacation house"
"427","2000K4"," Vest- og Sydsjælland",39,"Index","Vacation house"
"428","2000K4"," Fyn",57.7,"Index","Vacation house"
"429","2000K4"," Sydjylland",53.9,"Index","Vacation house"
"430","2000K4"," Østjylland",48.6,"Index","Vacation house"
"431","2000K4"," Vestjylland",58,"Index","Vacation house"
"432","2000K4"," Nordjylland",49.7,"Index","Vacation house"
"433","2001K1","Hele landet",47.3,"Index","Vacation house"
"434","2001K1"," Byen København",0,"Index","Vacation house"
"435","2001K1"," Københavns omegn",0,"Index","Vacation house"
"436","2001K1"," Nordsjælland",38.3,"Index","Vacation house"
"437","2001K1"," Bornholm",0,"Index","Vacation house"
"438","2001K1"," Østsjælland",46.1,"Index","Vacation house"
"439","2001K1"," Vest- og Sydsjælland",40,"Index","Vacation house"
"440","2001K1"," Fyn",57.5,"Index","Vacation house"
"441","2001K1"," Sydjylland",53.9,"Index","Vacation house"
"442","2001K1"," Østjylland",49.9,"Index","Vacation house"
"443","2001K1"," Vestjylland",58.7,"Index","Vacation house"
"444","2001K1"," Nordjylland",53.3,"Index","Vacation house"
"445","2001K2","Hele landet",48.6,"Index","Vacation house"
"446","2001K2"," Byen København",0,"Index","Vacation house"
"447","2001K2"," Københavns omegn",0,"Index","Vacation house"
"448","2001K2"," Nordsjælland",41.3,"Index","Vacation house"
"449","2001K2"," Bornholm",0,"Index","Vacation house"
"450","2001K2"," Østsjælland",42.9,"Index","Vacation house"
"451","2001K2"," Vest- og Sydsjælland",42,"Index","Vacation house"
"452","2001K2"," Fyn",57,"Index","Vacation house"
"453","2001K2"," Sydjylland",55.9,"Index","Vacation house"
"454","2001K2"," Østjylland",49.1,"Index","Vacation house"
"455","2001K2"," Vestjylland",57.6,"Index","Vacation house"
"456","2001K2"," Nordjylland",53.7,"Index","Vacation house"
"457","2001K3","Hele landet",50.2,"Index","Vacation house"
"458","2001K3"," Byen København",0,"Index","Vacation house"
