"Time","Area","Value","Metric","Category"
"1998K4","Hele landet","0.8","Pct_q","Vacation house"
"1998K4"," Byen København","0.0","Pct_q","Vacation house"
"1998K4"," Københavns omegn","0.0","Pct_q","Vacation house"
"1998K4"," Nordsjælland","0.7","Pct_q","Vacation house"
"1998K4"," Bornholm","0.0","Pct_q","Vacation house"
"1998K4"," Østsjælland","5.9","Pct_q","Vacation house"
"1998K4"," Vest- og Sydsjælland","1.6","Pct_q","Vacation house"
"1998K4"," Fyn","1.6","Pct_q","Vacation house"
"1998K4"," Sydjylland","1.3","Pct_q","Vacation house"
"1998K4"," Østjylland","0.7","Pct_q","Vacation house"
"1998K4"," Vestjylland","-2.3","Pct_q","Vacation house"
"1998K4"," Nordjylland","3.2","Pct_q","Vacation house"
"1999K1","Hele landet","0.5","Pct_q","Vacation house"
"1999K1"," Byen København","0.0","Pct_q","Vacation house"
"1999K1"," Københavns omegn","0.0","Pct_q","Vacation house"
"1999K1"," Nordsjælland","0.7","Pct_q","Vacation house"
"1999K1"," Bornholm","0.0","Pct_q","Vacation house"
"1999K1"," Østsjælland","-1.6","Pct_q","Vacation house"
"1999K1"," Vest- og Sydsjælland","2.3","Pct_q","Vacation house"
"1999K1"," Fyn","1.2","Pct_q","Vacation house"
"1999K1"," Sydjylland","6.7","Pct_q","Vacation house"
"1999K1"," Østjylland","-2.7","Pct_q","Vacation house"
"1999K1"," Vestjylland","3.5","Pct_q","Vacation house"
"1999K1"," Nordjylland","-0.7","Pct_q","Vacation house"
"1999K2","Hele landet","4.3","Pct_q","Vacation house"
"1999K2"," Byen København","0.0","Pct_q","Vacation house"
"1999K2"," Københavns omegn","0.0","Pct_q","Vacation house"
"1999K2"," Nordsjælland","4.9","Pct_q","Vacation house"
"1999K2"," Bornholm","0.0","Pct_q","Vacation house"
"1999K2"," Østsjælland","0.6","Pct_q","Vacation house"
"1999K2"," Vest- og Sydsjælland","3.8","Pct_q","Vacation house"
"1999K2"," Fyn","4.8","Pct_q","Vacation house"
"1999K2"," Sydjylland","-2.0","Pct_q","Vacation house"
"1999K2"," Østjylland","7.7","Pct_q","Vacation house"
"1999K2"," Vestjylland","5.5","Pct_q","Vacation house"
"1999K2"," Nordjylland","3.1","Pct_q","Vacation house"
"1999K3","Hele landet","3.6","Pct_q","Vacation house"
"1999K3"," Byen København","0.0","Pct_q","Vacation house"
"1999K3"," Københavns omegn","0.0","Pct_q","Vacation house"
"1999K3"," Nordsjælland","0.3","Pct_q","Vacation house"
"1999K3"," Bornholm","0.0","Pct_q","Vacation house"
"1999K3"," Østsjælland","12.9","Pct_q","Vacation house"
"1999K3"," Vest- og Sydsjælland","2.7","Pct_q","Vacation house"
"1999K3"," Fyn","4.1","Pct_q","Vacation house"
"1999K3"," Sydjylland","1.4","Pct_q","Vacation house"
"1999K3"," Østjylland","1.6","Pct_q","Vacation house"
"1999K3"," Vestjylland","2.5","Pct_q","Vacation house"
"1999K3"," Nordjylland","6.3","Pct_q","Vacation house"
"1999K4","Hele landet","-3.5","Pct_q","Vacation house"
"1999K4"," Byen København","0.0","Pct_q","Vacation house"
"1999K4"," Københavns omegn","0.0","Pct_q","Vacation house"
"1999K4"," Nordsjælland","-4.7","Pct_q","Vacation house"
"1999K4"," Bornholm","0.0","Pct_q","Vacation house"
"1999K4"," Østsjælland","-1.9","Pct_q","Vacation house"
"1999K4"," Vest- og Sydsjælland","-2.1","Pct_q","Vacation house"
"1999K4"," Fyn","-7.8","Pct_q","Vacation house"
"1999K4"," Sydjylland","1.2","Pct_q","Vacation house"
"1999K4"," Østjylland","-0.2","Pct_q","Vacation house"
"1999K4"," Vestjylland","-5.8","Pct_q","Vacation house"
"1999K4"," Nordjylland","-3.5","Pct_q","Vacation house"
"2000K1","Hele landet","2.4","Pct_q","Vacation house"
"2000K1"," Byen København","0.0","Pct_q","Vacation house"
"2000K1"," Københavns omegn","0.0","Pct_q","Vacation house"
"2000K1"," Nordsjælland","13.4","Pct_q","Vacation house"
"2000K1"," Bornholm","0.0","Pct_q","Vacation house"
"2000K1"," Østsjælland","0.3","Pct_q","Vacation house"
"2000K1"," Vest- og Sydsjælland","3.9","Pct_q","Vacation house"
